epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s,validation_time_s,epoch_wall_time_s
59,2,1.79e-05,0.5529,6.726886,5.240585,0.472987,0.448936,0.010388,3.075036,0.200954,0.226880,35.3,11.7,47.0
60,2,1.73e-05,0.5601,6.706526,5.238135,0.466910,0.451068,0.010348,3.130369,0.182465,0.226880,35.1,11.9,47.0
61,2,1.68e-05,0.5674,6.666286,5.232180,0.455198,0.456740,0.010290,3.155905,0.190270,0.226880,35.0,12.5,47.5
62,2,1.62e-05,0.5746,6.661759,5.225248,0.456046,0.455824,0.010248,3.182933,0.183526,0.226880,35.4,12.4,47.8
63,2,1.56e-05,0.5819,6.631874,5.229455,0.445144,0.446578,0.010199,3.222725,0.187090,0.226880,35.2,11.9,47.1
64,2,1.50e-05,0.5891,6.619377,5.223609,0.443065,0.443836,0.010139,3.248952,0.184467,0.226880,35.6,11.6,47.2
65,2,1.44e-05,0.5964,6.588048,5.239041,0.427378,0.445810,0.010092,3.292586,0.186098,0.226880,35.2,12.0,47.2
66,2,1.37e-05,0.6036,6.587897,5.249199,0.424367,0.437320,0.010052,3.331800,0.180566,0.226880,35.3,11.9,47.2
67,2,1.31e-05,0.6109,6.593454,5.261454,0.421502,0.449948,0.010023,3.360609,0.192835,0.226880,35.2,11.6,46.9
68,2,1.25e-05,0.6181,6.572491,5.270512,0.412149,0.436882,0.009984,3.410306,0.195749,0.226880,35.6,12.3,47.9
69,2,1.19e-05,0.6254,6.582128,5.292165,0.408446,0.430837,0.009942,3.452475,0.191842,0.226880,35.0,11.8,46.8
70,2,1.13e-05,0.6326,6.548220,5.283531,0.400063,0.429998,0.009889,3.456902,0.192693,0.226880,35.3,11.9,47.1
71,2,1.06e-05,0.6399,6.549733,5.307753,0.392440,0.431077,0.009854,3.494632,0.193673,0.226880,35.3,12.3,47.6
72,2,1.00e-05,0.6471,6.548746,5.326482,0.386054,0.427348,0.009825,3.537086,0.192614,0.226880,35.4,12.1,47.6
73,2,9.42e-06,0.6543,6.550802,5.339478,0.382497,0.425561,0.009799,3.567267,0.188788,0.226880,35.3,12.1,47.4
74,2,8.82e-06,0.6616,6.552164,5.359132,0.375547,0.442597,0.009774,3.595198,0.191423,0.226880,35.5,12.2,47.6
75,2,8.23e-06,0.6688,6.566048,5.377291,0.374568,0.433687,0.009745,3.628667,0.194381,0.226880,35.6,12.2,47.8
76,2,7.65e-06,0.6761,6.573691,5.404662,0.368253,0.428460,0.009712,3.668431,0.190298,0.226880,35.6,12.5,48.1
77,2,7.08e-06,0.6833,6.606587,5.434739,0.369405,0.424214,0.009685,3.718257,0.194040,0.226880,35.5,12.6,48.1
78,2,6.53e-06,0.6906,6.619330,5.459105,0.365110,0.432640,0.009660,3.744016,0.193161,0.226880,35.7,12.1,47.8
79,2,5.99e-06,0.6978,6.616136,5.474155,0.358933,0.434559,0.009641,3.764326,0.186187,0.226880,35.6,12.4,48.0
