epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s,validation_time_s,epoch_wall_time_s
88,2,2.01e-06,0.7630,7.158780,5.698547,0.466237,0.410143,0.009830,4.007940,0.199188,0.228814,79.2,13.9,93.1
89,2,1.69e-06,0.7703,7.185547,5.737064,0.462392,0.408719,0.009825,4.068165,0.198257,0.228814,78.5,14.0,92.5
90,2,1.39e-06,0.7775,7.231593,5.775320,0.465037,0.407739,0.009815,4.102993,0.198904,0.228814,79.6,14.1,93.7
91,2,1.12e-06,0.7848,7.251641,5.819727,0.456954,0.407020,0.009812,4.156697,0.201065,0.228814,78.9,13.3,92.2
92,2,8.75e-07,0.7920,7.270633,5.847322,0.453976,0.409217,0.009811,4.206650,0.200556,0.228814,79.1,13.6,92.7
93,2,6.61e-07,0.7993,7.349373,5.889248,0.466328,0.407614,0.009800,4.244996,0.200787,0.228814,79.6,14.6,94.2
94,2,4.76e-07,0.8065,7.344184,5.929097,0.451752,0.398882,0.009795,4.299643,0.200534,0.228814,79.9,13.5,93.4
95,2,3.21e-07,0.8138,7.378172,5.966459,0.449750,0.416411,0.009794,4.334165,0.200601,0.228814,78.3,15.3,93.6
96,2,1.96e-07,0.8210,7.420653,6.012512,0.449200,0.403609,0.009794,4.391239,0.199844,0.228814,79.9,13.7,93.6
97,2,1.02e-07,0.8283,7.477897,6.043767,0.457590,0.409060,0.009795,4.428415,0.200187,0.228814,80.6,13.7,94.4
98,2,3.78e-08,0.8355,7.480879,6.074028,0.448568,0.407638,0.009787,4.461355,0.200016,0.228814,79.1,13.5,92.6
99,2,4.92e-09,0.8428,7.567070,6.129937,0.459013,0.400628,0.009791,4.535212,0.200101,0.228814,78.6,13.8,92.5
100,2,2.94e-09,0.8500,7.578456,6.164028,0.451056,0.408400,0.009787,4.572433,0.200027,0.228814,78.4,13.8,92.2
