epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s,validation_time_s,epoch_wall_time_s
70,2,1.12e-05,0.6326,5.278650,4.905569,0.101746,0.452297,0.011826,2.589531,0.196098,0.208300,38.8,12.3,51.1
71,2,1.06e-05,0.6399,5.271146,4.908867,0.098123,0.452727,0.011719,2.589962,0.193194,0.208300,39.1,12.3,51.4
72,2,1.00e-05,0.6471,5.279210,4.923237,0.096068,0.451789,0.011640,2.617454,0.192618,0.208300,39.0,12.5,51.5
73,2,9.41e-06,0.6543,5.273448,4.926158,0.093135,0.452574,0.011599,2.614301,0.193263,0.208300,39.0,13.0,52.0
74,2,8.81e-06,0.6616,5.287294,4.943294,0.091824,0.456849,0.011514,2.633561,0.194546,0.208300,38.9,13.2,52.0
75,2,8.22e-06,0.6688,5.307719,4.966262,0.091380,0.448780,0.011468,2.652563,0.194565,0.208300,38.6,12.7,51.3
76,2,7.64e-06,0.6761,5.324448,4.989647,0.089090,0.450207,0.011411,2.690513,0.191426,0.208300,39.0,12.6,51.6
77,2,7.08e-06,0.6833,5.332710,4.998245,0.089210,0.445561,0.011344,2.679479,0.192859,0.208300,38.6,12.0,50.6
78,2,6.52e-06,0.6906,5.345674,5.021149,0.085638,0.450733,0.011300,2.714013,0.192961,0.208300,39.1,12.9,52.0
79,2,5.98e-06,0.6978,5.375834,5.055415,0.084258,0.450974,0.011256,2.731436,0.194576,0.208300,39.0,12.5,51.5
80,2,5.46e-06,0.7051,5.386842,5.070083,0.083518,0.441356,0.011204,2.751875,0.189078,0.208300,39.4,12.3,51.7
81,2,4.96e-06,0.7123,5.399772,5.083320,0.083114,0.447398,0.011156,2.754738,0.191097,0.208300,39.0,12.3,51.3
82,2,4.47e-06,0.7196,5.426037,5.117451,0.080715,0.442930,0.011124,2.802148,0.191323,0.208300,38.8,12.6,51.4
83,2,4.00e-06,0.7268,5.463889,5.152888,0.081337,0.446612,0.011091,2.853028,0.191047,0.208300,38.9,12.4,51.3
84,2,3.56e-06,0.7341,5.484752,5.176907,0.080242,0.447454,0.011066,2.854537,0.192235,0.208300,38.9,12.4,51.3
85,2,3.14e-06,0.7413,5.502759,5.197918,0.079234,0.447596,0.011028,2.882956,0.192218,0.208300,39.1,12.3,51.4
86,2,2.74e-06,0.7486,5.538527,5.237035,0.078247,0.444998,0.010992,2.914400,0.192252,0.208300,39.1,12.6,51.6
87,2,2.36e-06,0.7558,5.557007,5.259391,0.077142,0.441268,0.010969,2.960270,0.192248,0.208300,39.0,12.8,51.8
88,2,2.01e-06,0.7630,5.597707,5.298869,0.077393,0.444386,0.010954,3.009022,0.193382,0.208300,38.6,12.3,50.9
89,2,1.69e-06,0.7703,5.627270,5.326287,0.078207,0.442402,0.010933,3.027455,0.193275,0.208300,39.0,12.7,51.7
90,2,1.39e-06,0.7775,5.663358,5.362310,0.078327,0.440443,0.010917,3.074611,0.192433,0.208300,38.7,12.5,51.2
91,2,1.12e-06,0.7848,5.685360,5.392195,0.075795,0.438530,0.010910,3.106134,0.192616,0.208300,38.8,12.4,51.2
92,2,8.78e-07,0.7920,5.729033,5.436806,0.075227,0.443654,0.010896,3.156979,0.192563,0.208300,38.7,12.6,51.3
93,2,6.63e-07,0.7993,5.757780,5.455590,0.078674,0.441116,0.010888,3.170021,0.192503,0.208300,38.6,12.6,51.2
94,2,4.78e-07,0.8065,5.798575,5.502751,0.076997,0.432213,0.010872,3.213058,0.192995,0.208300,38.8,12.8,51.6
95,2,3.23e-07,0.8138,5.831816,5.542776,0.074124,0.444458,0.010856,3.243412,0.193126,0.208300,38.6,13.1,51.7
96,2,1.97e-07,0.8210,5.862625,5.573637,0.074510,0.436384,0.010860,3.285810,0.192717,0.208300,39.1,12.4,51.5
97,2,1.03e-07,0.8283,5.914164,5.621691,0.075523,0.439354,0.010858,3.347203,0.192903,0.208300,38.6,12.5,51.1
98,2,3.85e-08,0.8355,5.949078,5.655346,0.076145,0.435315,0.010851,3.398263,0.192942,0.208300,38.7,12.4,51.2
99,2,5.15e-09,0.8428,5.991174,5.693208,0.077664,0.433156,0.010852,3.423982,0.193393,0.208300,38.7,12.4,51.2
100,2,2.77e-09,0.8500,6.042809,5.750278,0.075470,0.440812,0.010851,3.499811,0.193230,0.208300,39.6,12.3,51.9
