epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s,validation_time_s,epoch_wall_time_s
65,2,1.44e-05,0.5964,7.434660,5.447417,0.638337,0.481544,0.008646,3.126449,0.200546,0.230580,44.8,12.4,57.2
66,2,1.37e-05,0.6036,7.464480,5.466007,0.641990,0.483355,0.008613,3.169902,0.198604,0.230580,44.1,12.3,56.4
67,2,1.31e-05,0.6109,7.395433,5.461305,0.620676,0.480672,0.008583,3.191698,0.200102,0.230580,44.3,13.1,57.4
68,2,1.25e-05,0.6181,7.415004,5.469154,0.624967,0.472992,0.008558,3.241535,0.197659,0.230580,44.5,12.8,57.3
69,2,1.19e-05,0.6254,7.410432,5.478489,0.620653,0.466563,0.008530,3.279430,0.191880,0.230580,44.4,12.5,56.9
70,2,1.13e-05,0.6326,7.391781,5.492089,0.610065,0.463314,0.008501,3.309933,0.199513,0.230580,44.4,12.3,56.7
71,2,1.06e-05,0.6399,7.410024,5.506703,0.610843,0.471956,0.008476,3.343922,0.199258,0.230580,44.6,12.5,57.1
72,2,1.00e-05,0.6471,7.375738,5.520483,0.594889,0.470581,0.008453,3.384146,0.198310,0.230580,44.6,12.4,57.0
73,2,9.43e-06,0.6543,7.383742,5.527807,0.595435,0.464197,0.008431,3.417845,0.196950,0.230580,44.6,13.9,58.5
74,2,8.83e-06,0.6616,7.407913,5.558115,0.592545,0.481087,0.008407,3.458934,0.195995,0.230580,44.0,13.4,57.3
75,2,8.24e-06,0.6688,7.408791,5.577221,0.586904,0.472393,0.008389,3.490860,0.196579,0.230580,44.5,13.4,57.9
76,2,7.66e-06,0.6761,7.390554,5.577150,0.580685,0.475653,0.008368,3.499025,0.196981,0.230580,44.6,12.5,57.1
77,2,7.09e-06,0.6833,7.415260,5.608832,0.579009,0.462667,0.008352,3.561326,0.197097,0.230580,44.6,12.7,57.2
78,2,6.54e-06,0.6906,7.400707,5.622536,0.568858,0.477307,0.008335,3.563778,0.196400,0.230580,44.3,12.6,56.9
79,2,6.00e-06,0.6978,7.443911,5.654619,0.572511,0.478389,0.008313,3.613595,0.197985,0.230580,44.2,13.2,57.4
80,2,5.48e-06,0.7051,7.440172,5.666975,0.568183,0.457644,0.008303,3.658622,0.202791,0.230580,44.8,13.5,58.3
81,2,4.97e-06,0.7123,7.424840,5.702407,0.550468,0.473531,0.008284,3.688392,0.198284,0.230580,44.6,12.6,57.2
82,2,4.48e-06,0.7196,7.458082,5.731696,0.551999,0.469265,0.008272,3.719024,0.198281,0.230580,44.4,12.8,57.2
83,2,4.02e-06,0.7268,7.486735,5.760878,0.551798,0.469762,0.008261,3.764764,0.199676,0.230580,44.6,12.6,57.2
84,2,3.57e-06,0.7341,7.510653,5.799603,0.546522,0.476559,0.008253,3.825360,0.201464,0.230580,44.4,12.4,56.9
85,2,3.15e-06,0.7413,7.521614,5.814500,0.545274,0.475276,0.008241,3.843381,0.199521,0.230580,44.7,12.5,57.3
86,2,2.75e-06,0.7486,7.547145,5.844068,0.543872,0.476407,0.008233,3.865816,0.198439,0.230580,44.7,12.8,57.5
87,2,2.37e-06,0.7558,7.601241,5.878881,0.550576,0.470887,0.008225,3.922691,0.201655,0.230580,44.4,12.9,57.2
88,2,2.02e-06,0.7630,7.591135,5.902029,0.539352,0.473661,0.008217,3.945078,0.199558,0.230580,44.2,12.9,57.1
89,2,1.69e-06,0.7703,7.643130,5.938341,0.544570,0.473858,0.008211,4.002798,0.198892,0.230580,44.4,12.8,57.2
90,2,1.39e-06,0.7775,7.626167,5.967222,0.529351,0.472612,0.008206,4.032325,0.200459,0.230580,44.4,12.6,57.0
91,2,1.12e-06,0.7848,7.682033,6.005612,0.535210,0.471931,0.008200,4.080742,0.201572,0.230580,44.8,12.7,57.5
92,2,8.78e-07,0.7920,7.700160,6.038055,0.530400,0.472701,0.008200,4.112380,0.202006,0.230580,44.7,13.0,57.7
93,2,6.63e-07,0.7993,7.762339,6.079533,0.537278,0.473144,0.008196,4.174530,0.199954,0.230580,44.3,12.6,56.9
94,2,4.78e-07,0.8065,7.754103,6.110728,0.524607,0.463691,0.008193,4.214889,0.199213,0.230580,44.2,12.9,57.1
95,2,3.23e-07,0.8138,7.852564,6.157516,0.541102,0.478276,0.008187,4.251347,0.200052,0.230580,44.3,12.7,57.0
96,2,1.97e-07,0.8210,7.864823,6.184076,0.537093,0.463134,0.008190,4.291714,0.199989,0.230580,45.0,12.9,57.8
97,2,1.03e-07,0.8283,7.874849,6.220792,0.527880,0.469439,0.008187,4.337818,0.199987,0.230580,44.7,12.6,57.3
98,2,3.85e-08,0.8355,7.909918,6.247441,0.530629,0.470600,0.008187,4.360825,0.200202,0.230580,44.4,13.7,58.1
99,2,5.15e-09,0.8428,7.966440,6.296306,0.533676,0.460709,0.008188,4.431841,0.200606,0.230580,44.3,13.4,57.7
100,2,2.77e-09,0.8500,7.980372,6.329004,0.526712,0.474890,0.008187,4.464245,0.200606,0.230580,44.3,13.5,57.8
